GuestlD,GuestName,Gender,Age,CustomerNationality,BookingDate,CheckInDate,CheckOutDate,Children,TotalGuests,RoomCount,CustomerType,ReservationStatus,RepeatGuests,StayingDuration,DaysUntilCheckIn
476,salah,Female,68,Indian,1/28/2019,2/8/2019,2/15/2019,0,2,1,Business,Completed,First-Time Visitor,7,27
477,PRASHANT BHANDARI,Male,30,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
478,Parker Ware,Male,29,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Corporate,Late Check-Out,First-Time Visitor,9,21
479,Arunabh Pramanik,Male,33,English,10/7/2017,11/28/2017,11/30/2017,0,2,1,Corporate,Completed,First-Time Visitor,4,30
480,KISHOR,Male,34,Russian,9/11/2020,9/11/2020,9/12/2020,0,2,1,Corporate,Completed,Regular Guest,3,16
481,Mrs Clare Capua,Male,33,Azerbaijani,9/3/2019,9/6/2019,9/11/2019,1,3,2,Leisure,Late Check-Out,Regular Guest,5,9
482,AHMED SAMI,Male,25,Iranian,12/11/2019,12/11/2019,12/20/2019,0,2,1,Business,Late Check-Out,First-Time Visitor,9,16
483,PRAMOD KUMAR,Male,35,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Business,Completed,First-Time Visitor,9,21
484,Mr Gerard Fink,Male,63,Indian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
485,Sandip Ghorpade,Male,39,Russian,4/6/2015,4/6/2015,4/7/2015,1,3,2,Leisure,Completed,First-Time Visitor,3,16
486,MRS SHIYA YAN,Female,46,Russian,12/7/2019,12/16/2019,12/18/2019,0,2,1,Corporate,Completed,First-Time Visitor,4,9
487,Jennifer Tucker,Female,35,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Business,Late Check-Out,First-Time Visitor,9,21
488,Rajesh Kumar,Male,25,Russian,12/14/2020,12/15/2020,12/17/2020,1,3,2,Leisure,Completed,First-Time Visitor,4,8
489,Jale,Male,23,Turkish,1/1/2023,2/1/2023,2/10/2023,0,2,1,Corporate,Completed,Regular Guest,9,21
490,MISS MW,Male,56,Indian,1/22/2021,1/22/2021,1/22/2021,1,3,2,Leisure,Early Check-Out,First-Time Visitor,4,16
491,Mrs M Kizy,Male,49,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Business,Early Check-Out,First-Time Visitor,9,21
492,Mr Mohammad Umar,Male,28,Russian,9/16/2019,9/17/2019,9/18/2019,1,3,2,Leisure,Early Check-Out,First-Time Visitor,3,8
493,Mr Amit,Male,37,Turkish,5/27/2019,5/27/2019,5/27/2019,0,2,1,Corporate,Early Check-Out,Regular Guest,4,16
494,MR KAMRAN,Male,35,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Late Check-Out,Regular Guest,9,21
495,SANJANA RAJESH,Female,28,Russian,9/3/2020,9/3/2020,9/6/2020,1,3,2,Leisure,Completed,First-Time Visitor,3,16
496,Mr Amagasa Katsu,Male,18,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
497,Mrs AP Tobala,Female,38,Russian,1/15/2021,1/16/2021,1/17/2021,1,3,2,Leisure,Late Check-Out,First-Time Visitor,3,8
498,KING John,Male,68,Iranian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Corporate,Late Check-Out,Regular Guest,9,21
499,Dorothy,Female,60,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,Regular Guest,9,21
500,Mrs Tessa M Goguen,Female,32,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
501,JIMI ADEFEMI ALOTA,Male,46,Indian,12/27/2021,2/15/2022,2/17/2022,1,3,2,Leisure,Completed,First-Time Visitor,4,21
502,Jay,Female,23,Azerbaijani,9/18/2022,9/18/2022,9/18/2022,1,3,2,Leisure,Completed,Regular Guest,4,16
503,Rajesh,Male,35,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
504,RUBILINA,Female,54,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,0,2,1,Business,Completed,Regular Guest,9,21
505,Rafael Ferreira,Male,32,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,Regular Guest,9,21
506,John,Male,32,Indian,11/25/2020,2/9/2021,2/12/2021,0,2,1,Corporate,Early Check-Out,First-Time Visitor,3,9
507,Bryan,Male,26,Turkish,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,Regular Guest,9,21
508,Christian,Male,26,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,0,2,1,Corporate,Late Check-Out,First-Time Visitor,9,21
509,Mohammed,Male,26,Iranian,3/25/2019,3/25/2019,3/28/2019,1,3,2,Leisure,Completed,First-Time Visitor,3,16
510,Junaid,Male,30,Russian,3/2/2023,3/3/2023,3/5/2023,0,2,1,Corporate,Late Check-Out,First-Time Visitor,4,8
511,Mr Gopal Singh,Male,29,Russian,7/13/2022,7/13/2022,7/15/2022,1,3,2,Leisure,Completed,Regular Guest,4,16
512,Mrs KB Pari,Female,47,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Business,Completed,First-Time Visitor,9,21
513,KNOX FRANK A,Male,42,Azerbaijani,1/7/2023,1/11/2023,1/13/2023,0,2,1,Corporate,Completed,First-Time Visitor,4,6
514,Mrs Ankur Gupta,Male,20,Azerbaijani,9/14/2019,9/14/2019,9/18/2019,0,2,1,Business,Completed,First-Time Visitor,4,16
515,Mr Zoran Pavlovski,Male,41,Iranian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Corporate,Completed,First-Time Visitor,9,21
516,Mr Ankur Bhanot,Male,30,Indian,3/27/2023,3/27/2023,3/28/2023,0,2,2,Business,Early Check-Out,Regular Guest,3,16
517,JOHN SANDERS,Male,34,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Business,Early Check-Out,First-Time Visitor,9,21
518,Gaurav,Male,37,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Late Check-Out,Regular Guest,9,21
519,Peter Jones,Male,32,Indian,2/12/2019,2/12/2019,2/15/2019,0,2,1,Business,Late Check-Out,Regular Guest,3,16
520,Norman,Male,27,Indian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
521,Hemant,Male,54,Turkish,8/6/2021,8/6/2021,8/9/2021,0,2,1,Business,Early Check-Out,First-Time Visitor,3,16
522,Jeremy,Male,35,Saudi Arabian,8/4/2019,8/4/2019,8/10/2019,0,2,1,Business,Completed,Regular Guest,6,16
523,Konstantin,Male,48,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Early Check-Out,Regular Guest,9,21
524,Ram,Male,24,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
525,Mrs Renee Keller,Female,45,American,1/3/2016,1/3/2016,1/7/2016,0,2,1,Corporate,Completed,First-Time Visitor,4,16
526,John Smith,Male,32,Russian,9/20/2021,9/20/2021,9/21/2021,1,3,2,Leisure,Completed,First-Time Visitor,3,16
527,Mr Sanoj Kumar Nair,Male,27,Indian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Late Check-Out,Regular Guest,9,21
528,Morris,Male,30,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Corporate,Early Check-Out,First-Time Visitor,9,21
529,Rohan S,Male,32,Indian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Business,Early Check-Out,First-Time Visitor,9,21
530,MISS WILLIAM,Female,21,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,0,2,1,Business,Completed,Regular Guest,9,21
531,Pavani,Female,25,Azerbaijani,1/4/2019,1/4/2019,1/5/2019,1,3,2,Leisure,Completed,Regular Guest,3,16
532,James,Male,31,Iranian,6/5/2016,6/5/2016,6/8/2016,1,3,2,Leisure,Completed,Regular Guest,3,16
533,Mohsen,Male,35,Russian,7/15/2022,7/15/2022,7/15/2022,1,3,2,Leisure,Early Check-Out,First-Time Visitor,4,16
534,Ashikur Rahman,Male,29,Indian,8/17/2019,8/17/2019,8/25/2019,0,2,1,Business,Early Check-Out,First-Time Visitor,8,16
535,nihat,Female,47,Indian,9/1/2022,9/3/2022,9/6/2022,0,2,1,Business,Completed,First-Time Visitor,3,21
536,Robert,Male,49,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Late Check-Out,First-Time Visitor,9,21
537,Mr Nihal K,Male,45,Saudi Arabian,8/12/2024,8/19/2024,8/19/2024,1,3,2,Leisure,Early Check-Out,First-Time Visitor,4,21
538,Anthony Tyler,Male,44,Turkish,8/12/2024,8/19/2024,8/19/2024,0,2,1,Corporate,Completed,First-Time Visitor,3,8
539,MRS KATHERINE ,Female,42,Russian,8/10/2024,8/17/2024,8/17/2024,1,3,2,Leisure,Late Check-Out,First-Time Visitor,9,21
540,fatima,Male,22,Iranian,8/9/2024,8/16/2024,8/16/2024,1,3,2,Leisure,Completed,First-Time Visitor,3,15
541,Mrs Siddhi M Jadhav,Female,38,Russian,8/1/2024,8/9/2024,8/9/2024,1,3,2,Leisure,Completed,First-Time Visitor,9,21
542,Mr Daniel S,Male,59,Russian,8/1/2024,8/8/2024,8/8/2024,0,2,1,Business,Completed,First-Time Visitor,3,16
543,Mr Antoine Loretta,Male,28,Azerbaijani,7/22/2024,7/29/2024,7/29/2024,1,3,2,Leisure,Late Check-Out,First-Time Visitor,4,6
544,Mr Gagan Deep Singh,Male,22,Russian,7/10/2024,7/17/2024,7/17/2024,1,3,2,Leisure,Early Check-Out,Regular Guest,9,21
545,Mr Anand Pandey,Male,34,Turkish,7/10/2024,7/17/2024,7/17/2024,1,3,2,Leisure,Early Check-Out,First-Time Visitor,9,21
546,ROBERTO,Male,45,Russian,7/1/2024,7/8/2024,7/8/2024,0,2,1,Corporate,Completed,First-Time Visitor,9,21
547,Atul,Male,31,Russian,7/1/2024,7/8/2024,7/8/2024,1,3,2,Leisure,Late Check-Out,First-Time Visitor,9,21
548,Mr Michael ,Male,48,Russian,7/1/2024,7/8/2024,7/8/2024,1,3,2,Leisure,Completed,First-Time Visitor,9,21
549,Anna,Female,45,Russian,6/17/2024,6/24/2024,6/24/2024,0,2,1,Corporate,Completed,First-Time Visitor,3,16
550,Kevin,Male,24,Azerbaijani,6/17/2024,6/24/2024,6/24/2024,1,3,2,Leisure,Completed,First-Time Visitor,3,16
551,Sharon,Male,32,Russian,6/16/2024,6/23/2024,6/23/2024,1,3,2,Leisure,Late Check-Out,First-Time Visitor,3,16
552,Mrs Hanyin Ahmed,Female,26,Indian,6/12/2024,6/19/2024,6/19/2024,0,2,1,Corporate,Completed,First-Time Visitor,3,9
553,Chris,Male,30,Russian,6/12/2024,6/19/2024,6/19/2024,1,3,2,Leisure,Late Check-Out,First-Time Visitor,9,21
554,Mr Jian,Male,45,Indian,6/6/2024,6/13/2024,6/13/2024,1,3,2,Leisure,Early Check-Out,First-Time Visitor,4,8
555,Mrs Beatrice B Bard,Female,36,Russian,6/5/2024,6/10/2024,6/10/2024,0,2,1,Business,Completed,Regular Guest,3,16
556,Mrs Reena Sonia,Female,56,Russian,6/2/2024,6/7/2024,6/7/2024,0,2,1,Business,Completed,First-Time Visitor,3,16
557,Mr Dipesh Jain,Male,37,Azerbaijani,5/24/2024,5/31/2024,5/31/2024,1,3,2,Leisure,Completed,Regular Guest,9,21
558,Mr Alain,Male,48,Russian,5/19/2024,5/26/2024,5/26/2024,0,2,1,Business,Early Check-Out,First-Time Visitor,3,16
559,Davies Benjamin,Male,24,Russian,7/1/2024,7/8/2024,7/8/2024,1,3,2,Leisure,Completed,First-Time Visitor,3,5
560,Mrs Edie Sweeney,Female,56,Azerbaijani,6/17/2024,6/24/2024,6/24/2024,1,3,2,Leisure,Completed,First-Time Visitor,3,16
561,Mrs Shelly Guzman,Female,35,Russian,8/15/2024,8/22/2024,8/29/2024,1,3,2,Leisure,Completed,First-Time Visitor,9,21
562,Mrs J S Griffin,Male,38,Russian,8/13/2024,8/20/2024,8/27/2024,1,3,2,Leisure,Early Check-Out,Regular Guest,9,21
563,Mrs Kassy Joy,Female,51,Russian,8/6/2024,8/13/2024,8/20/2024,1,3,2,Leisure,Early Check-Out,First-Time Visitor,9,21
564,Alcide Simeon,Male,33,Azerbaijani,8/5/2024,8/12/2024,8/19/2024,1,3,2,Leisure,Early Check-Out,Regular Guest,5,8
565,Ethan,Male,37,Russian,7/30/2024,8/6/2024,8/13/2024,1,3,2,Leisure,Late Check-Out,Regular Guest,9,21
566,Thangavelu,Male,30,Russian,7/22/2024,7/29/2024,8/5/2024,1,3,2,Leisure,Completed,First-Time Visitor,9,21
567,Taryn,Female,44,Russian,7/17/2024,7/24/2024,7/31/2024,0,2,1,Business,Late Check-Out,First-Time Visitor,9,21
568,ulvi,Female,45,Azerbaijani,7/14/2024,7/21/2024,7/28/2024,0,2,2,Business,Early Check-Out,Regular Guest,9,21
569,MR JOHN KENNEDY,Male,32,Iranian,7/12/2024,7/19/2024,7/26/2024,0,2,1,Corporate,Completed,First-Time Visitor,3,16
570,Sajid Ahsen,Male,38,Saudi Arabian,7/7/2024,7/14/2024,7/21/2024,0,2,1,Business,Completed,Regular Guest,4,16
571,Ahmad,Male,36,Azerbaijani,7/5/2024,7/12/2024,7/19/2024,1,3,2,Leisure,Late Check-Out,First-Time Visitor,4,27
572,Elena,Male,35,Azerbaijani,7/2/2024,7/9/2024,7/16/2024,1,3,2,Leisure,Completed,First-Time Visitor,9,21
573,Hagop,Male,1,Russian,6/26/2024,7/3/2024,7/10/2024,1,3,2,Leisure,Late Check-Out,First-Time Visitor,4,16
574,Hamid Alkhojar,Male,37,Iranian,6/23/2024,6/30/2024,7/7/2024,1,3,2,Leisure,Completed,First-Time Visitor,9,21
575,Mr George Davis,Male,33,Russian,6/23/2024,6/30/2024,7/7/2024,1,3,2,Leisure,Completed,Regular Guest,3,8
576,SANDEEP KHANNA,Male,29,Russian,6/21/2024,6/28/2024,7/5/2024,1,3,2,Leisure,Completed,First-Time Visitor,3,16
577,Kathleen Palmer,Female,55,Russian,6/12/2024,6/19/2024,6/26/2024,1,3,2,Leisure,Late Check-Out,First-Time Visitor,9,21
578,Robert,Male,41,Iranian,6/11/2024,6/18/2024,6/25/2024,0,2,1,Corporate,Completed,First-Time Visitor,9,21
579,Naira Iyabo,Female,36,Iranian,6/11/2024,6/18/2024,6/25/2024,1,3,2,Leisure,Late Check-Out,First-Time Visitor,9,21
580,Mrs Dionne ONeill,Female,34,Saudi Arabian,6/11/2024,6/18/2024,6/25/2024,1,3,2,Leisure,Late Check-Out,Regular Guest,3,16
581,Justin,Male,39,Turkish,6/10/2024,6/17/2024,6/24/2024,0,2,1,Business,Completed,Regular Guest,9,21
582,James,Male,35,Russian,6/10/2024,6/17/2024,6/24/2024,1,3,2,Leisure,Early Check-Out,First-Time Visitor,9,21
583,Bilal,Male,36,Indian,6/3/2024,6/10/2024,6/21/2024,0,2,1,Business,Completed,First-Time Visitor,33,16
584,Ricardo Rodriguez,Male,32,Turkish,6/2/2024,6/9/2024,6/20/2024,0,2,1,Business,Early Check-Out,First-Time Visitor,4,9
585,Mrs Gulshan Kumari,Female,35,Russian,6/12/2024,6/19/2024,6/26/2024,1,3,2,Leisure,Completed,First-Time Visitor,3,16
586,MRS RAJI RAM,Female,58,Azerbaijaniese,6/11/2024,6/18/2024,6/25/2024,1,3,2,Leisure,Completed,First-Time Visitor,3,8
587,Faiza Shams,Female,36,Indian,5/25/2022,5/25/2022,5/25/2022,1,3,2,Leisure,Early Check-Out,First-Time Visitor,4,16
588,Mr Parminder Singh,Male,52,Russian,4/10/2016,4/11/2016,4/13/2016,0,2,1,Business,Late Check-Out,First-Time Visitor,4,8
589,Mr Erik Wiedmer,Male,27,Saudi Arabian,9/7/2019,9/7/2019,9/9/2019,1,3,2,Leisure,Late Check-Out,Regular Guest,4,16
590,MS SHALINI NANDA,Female,41,Saudi Arabian,12/27/2019,12/27/2019,12/28/2019,1,3,2,Leisure,Early Check-Out,First-Time Visitor,3,16
591,Hamza,Male,45,Saudi Arabian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Business,Early Check-Out,First-Time Visitor,9,21
592,Mrs Claudia Mitchell,Female,40,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
593,Daria,Female,29,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,2,Corporate,Completed,Regular Guest,9,21
594,Mr Manish Kumar,Male,41,Saudi Arabian,7/17/2019,7/18/2019,7/20/2019,0,2,1,Business,Completed,Regular Guest,4,8
595,Mr Mukesh Sharma,Male,35,Azerbaijani,4/17/2016,6/24/2016,6/25/2016,0,2,1,Business,Early Check-Out,Regular Guest,3,15
596,Mrs Saskia S,Female,31,Iranian,8/7/2019,8/7/2019,8/10/2019,0,2,1,Corporate,Completed,First-Time Visitor,3,16
597,YOUNG SARAH MRS,Female,50,Turkish,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
598,Mr Ajit Singh,Male,52,Turkish,2/27/2021,2/27/2021,2/28/2021,1,3,2,Leisure,Completed,Regular Guest,3,16
599,Michael,Male,35,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Late Check-Out,Regular Guest,9,21
600,MR NICOLOSAO ,Male,29,Azerbaijani,8/18/2019,8/19/2019,8/20/2019,1,3,2,Leisure,Late Check-Out,First-Time Visitor,3,8
601,Mrs Svetlana Yuriev,Female,42,Russian,2/25/2019,4/14/2019,4/15/2019,0,2,1,Business,Early Check-Out,First-Time Visitor,3,15
602,Hassan,Male,24,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
603,Mrs Lori Martin,Female,42,Turkish,1/1/2023,2/1/2023,2/10/2023,0,2,1,Corporate,Completed,First-Time Visitor,9,21
604,Jona,Female,32,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,0,2,1,Business,Completed,First-Time Visitor,9,21
605,Sarah,Female,56,Indian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Corporate,Completed,Regular Guest,9,21
606,SAVITRI K,Female,25,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Late Check-Out,First-Time Visitor,9,21
607,Mrs Zoe L Kim,Female,30,Turkish,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
608,MARY ELIZABETH,Female,47,Russian,1/19/2019,1/25/2019,1/26/2019,1,3,2,Leisure,Early Check-Out,First-Time Visitor,3,6
609,Mr Dennis L,Male,24,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Early Check-Out,First-Time Visitor,9,21
610,Sarah,Female,32,Saudi Arabian,8/7/2019,8/7/2019,8/11/2019,1,3,2,Leisure,Late Check-Out,First-Time Visitor,4,16
611,Jose Carlos,Male,57,Russian,10/11/2016,10/12/2016,10/14/2016,0,2,1,Corporate,Early Check-Out,First-Time Visitor,4,8
612,Mr Toby Eby,Male,36,Russian,1/17/2023,2/6/2023,2/25/2023,0,2,1,Business,Completed,First-Time Visitor,39,21
613,MARIA SILVA,Male,19,Iranian,4/8/2019,4/8/2019,4/10/2019,0,2,1,Corporate,Late Check-Out,Regular Guest,4,16
614,HARSHAD D,Male,33,German,7/6/2019,7/6/2019,7/7/2019,1,3,2,Leisure,Completed,First-Time Visitor,3,16
615,Nicole,Female,33,Russian,8/20/2019,8/26/2019,8/28/2019,1,3,2,Leisure,Completed,First-Time Visitor,4,6
616,Ms Anita Rao,Male,37,Russian,9/17/2019,10/6/2019,10/9/2019,1,3,2,Leisure,Completed,First-Time Visitor,3,27
617,JENNIFER,Female,21,Turkish,6/8/2019,6/8/2019,6/13/2019,1,3,2,Leisure,Early Check-Out,Regular Guest,5,16
618,Akash,Male,25,Saudi Arabian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Early Check-Out,First-Time Visitor,9,21
619,Mr Haritha Rao,Male,48,Azerbaijani,6/16/2019,6/16/2019,6/18/2019,1,3,2,Leisure,Completed,Regular Guest,4,16
620,Mr Kashif,Male,34,Turkish,3/28/2023,4/6/2023,4/9/2023,1,3,2,Leisure,Completed,First-Time Visitor,3,9
621,Mr Anil Yadav,Male,55,Saudi Arabian,3/21/2022,3/21/2022,3/28/2022,0,3,2,Business,Completed,First-Time Visitor,7,16
622,Mr Andreas Pais,Female,36,Russian,7/8/2019,7/8/2019,7/16/2019,0,3,2,Business,Completed,Regular Guest,8,16
623,Patricia Derrick,Female,48,Turkish,8/6/2020,8/6/2020,8/7/2020,0,2,3,Corporate,Early Check-Out,First-Time Visitor,3,16
624,Mrs Monique Gomez,Male,27,Indian,11/7/2023,12/8/2023,12/18/2023,0,3,2,Corporate,Late Check-Out,First-Time Visitor,34,21
625,Jedidiah Plummer,Male,32,Russian,11/16/2022,11/29/2022,11/30/2022,0,4,2,Business,Late Check-Out,Regular Guest,3,27
626,Mr Daniel Dunn,Male,40,Russian,9/12/2022,10/22/2022,10/26/2022,0,2,2,Business,Completed,First-Time Visitor,4,21
627,Mrs Reese Sullivan,Female,50,Iranian,3/29/2022,6/8/2022,6/17/2022,2,3,2,Leisure,Completed,First-Time Visitor,9,16
628,Doris Jale,Male,46,Russian,4/12/2021,4/12/2021,4/16/2021,1,3,2,Leisure,Completed,Regular Guest,4,16
629,Harry Potter,Female,33,Russian,10/6/2022,12/31/2022,1/9/2023,0,2,1,Business,Completed,Regular Guest,9,16
630,Mr Johnson,Female,42,Russian,1/22/2023,1/22/2023,1/24/2023,2,3,2,Leisure,Completed,First-Time Visitor,4,16
631,Jerome Phelps,Male,25,Russian,8/7/2021,9/18/2021,9/21/2021,3,3,2,Leisure,Completed,First-Time Visitor,3,15
632,Brendan Lewis,Female,61,Russian,10/24/2021,1/16/2022,1/17/2022,0,2,3,Business,Completed,First-Time Visitor,3,16
633,Mr Abaris Jansen,Female,58,Indian,2/11/2020,2/11/2020,2/17/2020,0,4,2,Corporate,Early Check-Out,Regular Guest,6,16
634,Keith Helton,Female,57,Russian,11/14/2022,2/8/2023,2/13/2023,0,4,2,Corporate,Completed,First-Time Visitor,5,16
635,Carolina S,Female,46,Russian,4/27/2023,5/31/2023,6/2/2023,0,2,2,Corporate,Completed,First-Time Visitor,4,13
636,Mr Abdullah S,Male,57,Russian,9/28/2023,10/14/2023,10/23/2023,0,4,2,Corporate,Completed,First-Time Visitor,9,16
637,Lillian Hale,Male,36,Russian,3/1/2021,3/1/2021,3/6/2021,0,5,3,Business,Completed,Regular Guest,5,16
638,Terrence Diaz,Female,64,Russian,9/22/2020,11/9/2020,11/19/2020,0,5,3,Business,Early Check-Out,Regular Guest,34,15
639,Sarah Taylor,Male,47,Saudi Arabian,7/14/2020,7/14/2020,7/20/2020,0,5,3,Corporate,Completed,First-Time Visitor,6,16
640,Jimmy Augustine,Male,54,Turkish,11/23/2022,12/27/2022,1/1/2023,0,2,2,Corporate,Early Check-Out,First-Time Visitor,5,13
641,Mrs Toni L Mclaughlin,Female,54,Russian,11/10/2020,1/28/2021,2/5/2021,0,4,2,Corporate,Completed,First-Time Visitor,8,5
642,Mr Abdul Hamid,Female,69,Indian,8/6/2018,8/6/2018,8/7/2018,0,3,2,Business,Completed,First-Time Visitor,3,16
643,Diego Gomez,Female,23,Turkish,3/27/2020,3/27/2020,4/4/2020,0,5,3,Corporate,Late Check-Out,First-Time Visitor,8,16
644,Bart Rath,Male,39,Iranian,3/29/2018,3/29/2018,4/3/2018,0,4,2,Corporate,Completed,First-Time Visitor,5,16
645,Ece Karas,Male,18,Turkish,1/16/2023,2/7/2023,2/15/2023,0,5,3,Corporate,Completed,First-Time Visitor,8,16
646,Joshua Mcdowell,Male,52,Russian,4/9/2023,6/2/2023,6/11/2023,0,2,2,Business,Early Check-Out,First-Time Visitor,9,30
647,Layla Smith,Male,42,Azerbaijani,4/11/2021,4/28/2021,5/8/2021,0,3,2,Corporate,Early Check-Out,Regular Guest,34,27
648,Joshua Pearson,Female,55,Russian,10/20/2022,11/1/2022,11/3/2022,2,3,2,Leisure,Completed,First-Time Visitor,4,27
649,Corinne Jaekel,Male,35,Russian,12/29/2019,3/3/2020,3/6/2020,2,3,2,Leisure,Completed,First-Time Visitor,3,15
650,Ms Mara Dinwiddie,Female,53,Russian,4/28/2021,5/18/2021,5/21/2021,2,5,3,Leisure,Late Check-Out,Regular Guest,3,21
651,Jake Nagel,Male,20,Russian,10/3/2023,10/21/2023,10/26/2023,0,4,2,Business,Early Check-Out,First-Time Visitor,5,27
652,Martin Hepworth,Female,59,Azerbaijani,7/22/2023,9/4/2023,9/12/2023,2,3,2,Leisure,Completed,First-Time Visitor,8,15
653,Kurtis Lang,Male,64,Azerbaijani,9/27/2018,9/27/2018,10/7/2018,0,5,3,Business,Completed,Regular Guest,34,16
654,John Smith,Female,18,Russian,4/23/2018,4/23/2018,4/26/2018,3,5,3,Leisure,Completed,First-Time Visitor,3,16
655,Kimberly Garza,Male,40,Azerbaijani,12/27/2022,12/27/2022,12/29/2022,1,5,3,Leisure,Completed,Regular Guest,4,16
656,Mr Manish Goyal,Male,68,Russian,8/11/2019,8/26/2019,8/29/2019,1,5,3,Leisure,Completed,Regular Guest,3,16
657,Mrs Katherine Bauer,Female,70,Russian,4/12/2019,5/9/2019,5/13/2019,0,3,2,Business,Completed,First-Time Visitor,4,16
658,Mr Yasir Saeed,Female,47,Azerbaijani,8/11/2018,8/11/2018,8/12/2018,0,4,2,Corporate,Completed,Regular Guest,3,16
659,Shane Herd,Male,69,Russian,1/7/2022,1/28/2022,2/1/2022,0,5,3,Corporate,Completed,First-Time Visitor,4,16
660,Jonathan Grimes,Female,59,Russian,3/29/2018,3/29/2018,4/6/2018,3,5,3,Leisure,Completed,First-Time Visitor,8,16
661,Michael Dudley,Female,18,Azerbaijani,3/4/2022,4/24/2022,4/26/2022,0,3,2,Business,Completed,Regular Guest,4,15
662,Mr Anders Sundbom,Female,63,Azerbaijani,9/23/2019,9/23/2019,9/29/2019,0,4,2,Corporate,Completed,First-Time Visitor,6,16
663,Mr Roque Abney,Female,37,Turkish,4/30/2021,5/29/2021,6/5/2021,0,3,2,Corporate,Completed,First-Time Visitor,7,5
664,Robert Blackburn,Female,26,Indian,6/22/2021,8/10/2021,8/11/2021,1,3,2,Leisure,Early Check-Out,First-Time Visitor,3,15
665,Jaylah Wern,Female,66,Russian,2/26/2018,2/26/2018,3/4/2018,0,3,2,Business,Completed,First-Time Visitor,6,16
666,Wolfgang Wirtz,Male,50,Indian,4/3/2022,6/18/2022,6/26/2022,0,2,2,Corporate,Early Check-Out,First-Time Visitor,8,9
667,Mr Anand Singh,Male,66,Turkish,9/11/2022,10/10/2022,10/15/2022,1,5,3,Leisure,Late Check-Out,First-Time Visitor,5,5
668,Mr Jasper Bryson,Female,19,Turkish,7/7/2019,7/7/2019,7/13/2019,0,4,2,Business,Completed,Regular Guest,6,16
669,Abraham Smith,Female,30,Spanish,1/10/2023,4/7/2023,4/13/2023,2,3,2,Leisure,Completed,First-Time Visitor,6,27
670,Kimberley Cruz,Female,34,Azerbaijani,9/28/2018,10/25/2018,11/4/2018,0,2,3,Corporate,Early Check-Out,Regular Guest,34,16
671,Nadia Hernandez,Male,40,Russian,4/2/2021,6/12/2021,6/17/2021,0,3,2,Corporate,Completed,Regular Guest,5,16
