GuestlD,GuestName,Gender,Age,CustomerNationality,BookingDate,CheckInDate,CheckOutDate,Children,Adults,TotalGuests,RoomCount,CustomerType,ReservationStatus,RepeatGuests
891,Jerome West,Male,18,Russian,6/6/2024,6/13/2024,6/13/2024,0,N/A,5,3 room,Business,Early Check-Out,First-Time Visitor
892,Erin Feeney,Female,57,Russian,6/5/2024,6/10/2024,6/10/2024,2,N/A,3,2 room,Leisure,Completed,First-Time Visitor
893,Bradley George,Female,63,Turkish,6/2/2024,6/7/2024,6/7/2024,2,N/A,4,2 room,Leisure,Completed,Regular Guest
894,Sara Pence,Male,60,Turkish,5/24/2024,5/31/2024,5/31/2024,2,N/A,3,2 room,Leisure,Completed,Regular Guest
895,Harriet Hamill,Female,48,Iranian,5/19/2024,5/26/2024,5/26/2024,0,N/A,2,2 room,Corporate,Completed,First_Time Visitor
896,Mr. Richard Delaney,Female,40,Russian,7/1/2024,7/8/2024,7/8/2024,0,N/A,4,2 room,Business,Early Check-Out,First-Time Visitor
897,Marianne Daly,Male,56,Russian,6/17/2024,6/24/2024,6/24/2024,0,N/A,5,3 room,Corporate,Late Check-Out,First_Time Visitor
898,Mr. Terry Ellis,Female,20,Russian,8/15/2024,8/22/2024,8/29/2024,0,N/A,4,2 room,Corporate,Late Check-Out,Regular Guest
899,Lara Casper,Male,39,Iranian,8/13/2024,8/20/2024,8/27/2024,3,N/A,5,3 room,Leisure,Completed,First-Time Visitor
900,William Choi,Male,36,Russian,8/6/2024,8/13/2024,8/20/2024,0,N/A,2,3 room,Business,Early Check-Out,First_Time Visitor
901,Mr. Chad A. Maxwell,Male,66,Saudi Arabian,8/5/2024,8/12/2024,8/19/2024,1,N/A,3,2 room,Leisure,Early Check-Out,First-Time Visitor
902,"Allen, Ms.",Male,27,Russian,7/30/2024,8/6/2024,8/13/2024,0,N/A,5,3 room,Corporate,Completed,Regular Guest
903,Thomas Schultz,Male,50,Azerbaijani,7/22/2024,7/29/2024,8/5/2024,0,N/A,2,1 room,Business,Early Check-Out,Regular Guest
904,Mr. Enrique Tosh,Male,41,Azerbaijani,7/17/2024,7/24/2024,7/31/2024,3,N/A,3,2 room,Leisure,Late Check-Out,Regular Guest
905,Mr. Mike Betts,Male,63,Russian,7/14/2024,7/21/2024,7/28/2024,1,N/A,3,2 room,Leisure,Early Check-Out,First-Time Visitor
906,Bethany Larsson,Male,55,Azerbaijani,7/12/2024,7/19/2024,7/26/2024,0,N/A,2,3 room,Corporate,Completed,First_Time Visitor
907,Paul,Female,26,Russian,7/7/2024,7/14/2024,7/21/2024,0,N/A,3,2 room,Corporate,Completed,First-Time Visitor
908,Mr. Eiland Vick,Male,31,Iranian,7/5/2024,7/12/2024,7/19/2024,3,N/A,5,3 room,Leisure,Early Check-Out,First_Time Visitor
909,Joe Wilson,Male,60,American,7/2/2024,7/9/2024,7/16/2024,0,N/A,4,2 room,Corporate,Late Check-Out,First-Time Visitor
910,Mr. Derek Dawson,Male,42,Turkish,6/26/2024,7/3/2024,7/10/2024,0,N/A,4,2 room,Business,Completed,First-Time Visitor
911,Samuel Chan,Male,31,Russian,6/23/2024,6/30/2024,7/7/2024,0,N/A,4,2 room,Business,Completed,First-Time Visitor
912,Mr. Nganh Nguyen,Male,22,Russian,6/23/2024,6/30/2024,7/7/2024,1,N/A,5,3 room,Leisure,Early Check-Out,First-Time Visitor
913,Mark Barclay,Female,66,Azerbaijani,6/21/2024,6/28/2024,7/5/2024,0,N/A,5,3 room,Corporate,Early Check-Out,First_Time Visitor
914,Mr. Vijay R. Sharma,Female,18,Azerbaijani,6/12/2024,6/19/2024,6/26/2024,2,N/A,4,2 room,Leisure,Late Check-Out,Regular Guest
915,Matthew L. Carroll,Female,56,Saudi Arabian,6/11/2024,6/18/2024,6/25/2024,0,N/A,3,2 room,Business,Late Check-Out,Regular Guest
916,Mr. Derek Sweeney,Male,63,Russian,6/11/2024,6/18/2024,6/25/2024,0,N/A,3,2 room,Corporate,Completed,First-Time Visitor
917,Dennis Hoeger,Female,40,Russian,6/11/2024,6/18/2024,6/25/2024,0,N/A,5,3 room,Corporate,Completed,First-Time Visitor
918,Jonathan Reese,Female,69,Azerbaijani,6/10/2024,6/17/2024,6/24/2024,0,N/A,4,2 room,Business,Late Check-Out,Regular Guest
919,Mr. Simon Tanner,Female,35,Russian,6/10/2024,6/17/2024,6/24/2024,0,N/A,5,3 room,Business,Late Check-Out,First_Time Visitor
920,Jessica Koch,Male,41,Saudi Arabian,6/3/2024,6/10/2024,6/21/2024,0,N/A,2,3 room,Business,Early Check-Out,First_Time Visitor
921,Kasandra Franecki,Male,68,Azerbaijani,6/2/2024,6/9/2024,6/20/2024,2,N/A,4,2 room,Leisure,Completed,First_Time Visitor
922,Mr. Nikhil Singh,Male,30,Iranian,6/12/2024,6/19/2024,6/26/2024,0,N/A,4,2 room,Business,Early Check-Out,First-Time Visitor
923,Joel Larkin,Female,46,Russian,6/11/2024,6/18/2024,6/25/2024,3,N/A,5,3 room,Leisure,Late Check-Out,First_Time Visitor
924,Kyla Witting,Female,35,Indian,6/8/2019,6/8/2019,6/17/2019,0,N/A,4,2 room,Business,Completed,First-Time Visitor
925,Evan Kemmer,Female,46,Indian,12/26/2022,12/26/2022,1/2/2023,0,N/A,3,2 room,Corporate,Late Check-Out,First-Time Visitor
926,Mrs. Dominic Raynor,Female,25,Iranian,3/21/2018,3/21/2018,3/22/2018,0,N/A,4,2 room,Business,Early Check-Out,Regular Guest
927,Dalton Gomez,Male,38,Russian,1/15/2021,1/15/2021,1/19/2021,0,N/A,4,2 room,Business,Late Check-Out,First-Time Visitor
928,Mr. Kellie Phelps,Male,59,Azerbaijani,11/10/2018,1/4/2019,1/14/2019,0,N/A,2,2 room,Business,Late Check-Out,Regular Guest
929,Mr. Gobind Kishor,Female,18,Turkish,7/6/2020,9/30/2020,10/2/2020,2,N/A,5,3 room,Leisure,Completed,First-Time Visitor
930,Joe Beaman,Female,27,Indian,3/8/2021,3/8/2021,3/12/2021,0,N/A,3,2 room,Corporate,Early Check-Out,First_Time Visitor
931,Jonathan Hines,Female,33,Russian,3/12/2018,3/12/2018,3/18/2018,3,N/A,3,2 room,Leisure,Completed,First_Time Visitor
932,Mike,Male,48,Indian,11/28/2022,12/5/2022,12/9/2022,2,N/A,5,3 room,Leisure,Completed,First-Time Visitor
933,Mr. Liam Murphy,Male,20,Russian,8/3/2023,8/3/2023,8/11/2023,0,N/A,5,3 room,Business,Early Check-Out,Regular Guest
934,Ms. Erin Wolff,Male,61,Russian,9/17/2018,11/26/2018,11/27/2018,1,N/A,4,2 room,Leisure,Completed,First-Time Visitor
935,Mrs. Micah Schmeler,Male,52,Russian,10/24/2021,12/24/2021,12/30/2021,3,N/A,4,2 room,Leisure,Completed,First-Time Visitor
936,Maynard Hall,Female,39,Azerbaijani,7/22/2022,7/29/2022,8/8/2022,0,N/A,5,3 room,Corporate,Late Check-Out,First_Time Visitor
937,Mr. Luis Ribeiro,Male,49,American,12/13/2018,12/13/2018,12/20/2018,0,N/A,4,2 room,Business,Late Check-Out,First_Time Visitor
938,Mr. Santiago Vega,Female,19,Russian,11/22/2020,1/17/2021,1/25/2021,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
939,Mr. Abel A. Hammer,Female,48,Russian,2/17/2023,5/13/2023,5/20/2023,0,N/A,3,2 room,Business,Late Check-Out,First_Time Visitor
940,Mrs. Pamela Medina,Male,43,Azerbaijani,10/10/2023,11/27/2023,12/1/2023,0,N/A,3,2 room,Business,Completed,First_Time Visitor
941,Lawrence Mckenzie,Female,40,Azerbaijani,7/24/2020,10/18/2020,10/26/2020,0,N/A,3,2 room,Business,Completed,Regular Guest
942,"Molloy, Ange",Male,47,Russian,2/23/2020,5/11/2020,5/19/2020,0,N/A,4,2 room,Business,Late Check-Out,Regular Guest
943,Benjamin Diaz,Female,40,Russian,5/15/2023,6/14/2023,6/15/2023,2,N/A,4,2 room,Leisure,Completed,First_Time Visitor
944,Derick Donegan,Female,48,Azerbaijani,4/28/2019,4/28/2019,5/1/2019,0,N/A,4,2 room,Business,Late Check-Out,First_Time Visitor
945,Nathaniel Glover,Male,33,Azerbaijani,6/30/2020,6/30/2020,7/1/2020,3,N/A,3,2 room,Leisure,Completed,First_Time Visitor
946,Chloe Mills,Female,60,Russian,11/20/2019,11/20/2019,11/21/2019,0,N/A,4,2 room,Business,Late Check-Out,Regular Guest
947,Mr. Anand Joshi,Female,45,Azerbaijani,4/8/2022,7/4/2022,7/11/2022,2,N/A,4,2 room,Leisure,Completed,First_Time Visitor
948,Nicholas Perkins,Female,21,Azerbaijani,2/1/2018,2/1/2018,2/4/2018,0,N/A,3,2 room,Business,Completed,Regular Guest
949,Mr. Justin Ullrich,Male,32,Indian,9/11/2022,12/7/2022,12/13/2022,0,N/A,5,3 room,Corporate,Late Check-Out,First-Time Visitor
950,Marie Barnes,Female,27,Indian,3/20/2018,3/20/2018,3/25/2018,0,N/A,2,2 room,Business,Completed,First-Time Visitor
951,Poonam Yadav,Male,46,Russian,12/14/2019,12/14/2019,12/19/2019,0,N/A,4,2 room,Business,Late Check-Out,Regular Guest
952,Floyd Meyer,Female,33,Russian,3/19/2020,3/19/2020,3/21/2020,3,N/A,4,2 room,Leisure,Late Check-Out,Regular Guest
953,Ms. Elvira Brennan,Female,39,Russian,11/12/2019,11/12/2019,11/17/2019,1,N/A,3,2 room,Leisure,Early Check-Out,First_Time Visitor
954,Seth Mcdonald,Female,35,Russian,11/2/2022,12/10/2022,12/15/2022,2,N/A,4,2 room,Leisure,Completed,First-Time Visitor
955,Mr. George F. Moss,Female,42,Russian,8/28/2019,8/28/2019,9/5/2019,1,N/A,5,3 room,Leisure,Late Check-Out,First-Time Visitor
956,Alec Diaz,Female,33,Azerbaijani,1/24/2023,3/23/2023,3/26/2023,0,N/A,4,2 room,Business,Completed,Regular Guest
957,Ms. Brenda Rodriguez,Female,67,Russian,12/9/2022,12/9/2022,12/18/2022,0,N/A,3,2 room,Corporate,Completed,First-Time Visitor
958,Mrs. Ava Watson,Female,52,Russian,4/15/2018,4/15/2018,4/23/2018,2,N/A,4,2 room,Leisure,Early Check-Out,First-Time Visitor
959,Nicolaus Malone,Female,37,Azerbaijani,11/16/2019,11/16/2019,11/18/2019,3,N/A,3,2 room,Leisure,Late Check-Out,First_Time Visitor
960,Arthur Fleming,Female,58,Azerbaijani,3/4/2019,3/4/2019,3/14/2019,0,N/A,2,3 room,Corporate,Late Check-Out,Regular Guest
961,Ms. Goh Choo Kheng,Female,34,Indian,5/28/2021,7/18/2021,7/21/2021,2,N/A,4,2 room,Leisure,Late Check-Out,First-Time Visitor
962,Jessica Jacobsen,Male,36,Azerbaijani,1/20/2021,2/8/2021,2/16/2021,0,N/A,3,2 room,Corporate,Completed,First_Time Visitor
963,Mrs. Sharon Doyle,Male,41,Saudi Arabian,12/12/2020,1/15/2021,1/16/2021,0,N/A,2,3 room,Corporate,Completed,First_Time Visitor
964,aziza,Male,63,Iranian,2/8/2023,3/17/2023,3/24/2023,1,N/A,4,2 room,Leisure,Completed,Regular Guest
965,Joshua Fowler,Female,36,Russian,9/29/2019,9/29/2019,10/9/2019,2,N/A,4,2 room,Leisure,Completed,Regular Guest
966,Fredrik M,Female,56,Azerbaijani,3/24/2018,3/24/2018,3/28/2018,0,N/A,5,3 room,Corporate,Completed,First_Time Visitor
967,Mr. Sven Olafson,Female,41,Azerbaijani,7/8/2020,7/8/2020,7/17/2020,1,N/A,3,2 room,Leisure,Early Check-Out,First_Time Visitor
968,Brian Whitmore,Male,65,Russian,4/22/2020,6/23/2020,7/2/2020,0,N/A,3,2 room,Business,Completed,First_Time Visitor
969,Mohamed,Female,37,Russian,7/11/2020,7/11/2020,7/20/2020,0,N/A,3,2 room,Business,Late Check-Out,Regular Guest
970,Nicholas Thorne,Female,20,Russian,4/1/2018,4/1/2018,4/10/2018,1,N/A,5,3 room,Leisure,Early Check-Out,Regular Guest
971,Mike Miller,Female,49,American,7/2/2019,7/2/2019,7/12/2019,0,N/A,2,1 room,Business,Early Check-Out,First-Time Visitor
972,Anthony Wong,Female,21,American,9/26/2020,12/23/2020,12/28/2020,0,N/A,2,1 room,Corporate,Completed,First-Time Visitor
973,Mr. Mohit Tate,Male,22,Russian,10/13/2019,12/13/2019,12/14/2019,0,N/A,4,2 room,Business,Completed,First_Time Visitor
974,Mr. Thomas Mccall,Male,55,Azerbaijani,1/30/2019,1/30/2019,2/5/2019,0,N/A,5,3 room,Business,Late Check-Out,First_Time Visitor
975,Ken Lopez,Female,47,Turkish,4/21/2021,7/3/2021,7/11/2021,0,N/A,2,1 room,Corporate,Completed,First-Time Visitor
976,Ms. Kayla Stracke,Female,54,Azerbaijani,6/12/2018,7/29/2018,8/8/2018,0,N/A,4,2 room,Corporate,Early Check-Out,First_Time Visitor
977,Ashley Turner,Male,48,Azerbaijani,1/11/2023,1/27/2023,2/5/2023,0,N/A,4,2 room,Business,Late Check-Out,Regular Guest
978,Bradley Cumming,Female,66,Azerbaijani,7/14/2018,7/14/2018,7/15/2018,0,N/A,5,3 room,Corporate,Completed,Regular Guest
979,Olivia Flanner,Male,26,Azerbaijani,11/2/2020,12/9/2020,12/16/2020,0,N/A,4,2 room,Corporate,Completed,First_Time Visitor
980,Mr. Marko Diaz,Male,50,Turkish,2/4/2018,2/4/2018,2/13/2018,0,N/A,5,3 room,Business,Early Check-Out,First_Time Visitor
981,nazrin,Female,45,Russian,10/4/2023,12/8/2023,12/16/2023,3,N/A,3,2 room,Leisure,Completed,First-Time Visitor
982,Mr. Erik Lawson,Male,43,Russian,2/17/2020,3/2/2020,3/10/2020,0,N/A,3,2 room,Corporate,Late Check-Out,Regular Guest
983,Mr. Ephrem K. Govan,Male,59,Russian,5/11/2018,5/11/2018,5/21/2018,3,N/A,3,2 room,Leisure,Late Check-Out,First-Time Visitor
984,Georgia Yates,Male,29,Iranian,10/31/2019,12/7/2019,12/11/2019,0,N/A,5,3 room,Corporate,Completed,Regular Guest
985,Amy Jones,Male,68,Azerbaijani,6/28/2023,9/14/2023,9/18/2023,0,N/A,3,2 room,Business,Completed,Regular Guest
986,Mr. Percy Salter,Male,23,Azerbaijani,11/2/2023,11/23/2023,12/1/2023,0,N/A,4,2 room,Corporate,Late Check-Out,First_Time Visitor
987,Jimmy Boone,Female,57,Azerbaijani,11/16/2021,2/4/2022,2/12/2022,3,N/A,3,2 room,Leisure,Late Check-Out,Regular Guest
988,Jaime Lopez,Female,20,Azerbaijani,7/7/2021,9/19/2021,9/27/2021,2,N/A,3,2 room,Leisure,Early Check-Out,Regular Guest
989,Eva Grimaldo,Male,19,Turkish,10/19/2018,10/19/2018,10/20/2018,0,N/A,2,2 room,Corporate,Completed,First-Time Visitor
990,Mr. Vitaliy Abhijit,Female,19,Russian,2/27/2018,2/27/2018,3/8/2018,0,N/A,5,3 room,Corporate,Completed,Regular Guest
991,Mr. Mikel Grierson,Male,35,Turkish,11/29/2018,11/29/2018,12/1/2018,0,N/A,3,2 room,Business,Completed,First-Time Visitor
992,Mrs. Leilani McCormick,Female,29,Russian,3/22/2021,3/22/2021,4/1/2021,0,N/A,3,2 room,Corporate,Completed,First-Time Visitor
993,Tamara Mclaughlin,Male,44,Indian,6/12/2018,6/12/2018,6/16/2018,0,N/A,2,3 room,Business,Early Check-Out,Regular Guest
994,Pankaj Srivastava,Female,58,Azerbaijani,9/28/2018,9/28/2018,9/29/2018,0,N/A,5,3 room,Business,Early Check-Out,Regular Guest
995,Joyce Porter,Male,60,Indian,8/17/2022,10/4/2022,10/5/2022,1,N/A,4,2 room,Leisure,Completed,First_Time Visitor
996,Mr. Kostas Blekas,Female,56,Azerbaijani,2/23/2023,3/6/2023,3/16/2023,0,N/A,5,3 room,Corporate,Late Check-Out,First_Time Visitor
997,Ganesh Rai,Male,56,Russian,2/6/2020,2/6/2020,2/10/2020,2,N/A,5,3 room,Leisure,Completed,First_Time Visitor
998,Mr. Dong Hak Lee,Female,19,Saudi Arabian,3/26/2022,5/29/2022,5/30/2022,0,N/A,2,1 room,Business,Completed,Regular Guest
999,Lisa Smith,Male,47,Turkish,2/22/2021,3/8/2021,3/15/2021,0,N/A,3,2 room,Corporate,Completed,First-Time Visitor
1000,Mr. Abraham De La Rosa,Male,30,Indian,6/6/2018,6/6/2018,6/16/2018,3,N/A,5,3 room,Leisure,Early Check-Out,First_Time Visitor
1001,Mr. Anthony Camin,Male,55,Iranian,7/1/2018,7/1/2018,7/8/2018,3,N/A,4,2 room,Leisure,Early Check-Out,First-Time Visitor
1002,Mr. DANIEL STELLA,Male,56,Azerbaijani,5/13/2023,5/13/2023,5/22/2023,1,N/A,4,2 room,Leisure,Completed,Regular Guest
1003,Truong Kim,Male,46,Iranian,10/12/2022,12/24/2022,12/30/2022,1,N/A,3,2 room,Leisure,Completed,Regular Guest
1004,Mr. James Olsen,Male,56,Iranian,1/27/2021,3/21/2021,3/26/2021,2,N/A,3,2 room,Leisure,Completed,First-Time Visitor
1005,Jesse Hancock,Female,54,Azerbaijani,1/16/2020,1/16/2020,1/20/2020,0,N/A,3,2 room,Business,Early Check-Out,First_Time Visitor
1006,Micah Tillman,Male,27,Indian,3/12/2022,5/7/2022,5/11/2022,2,N/A,3,2 room,Leisure,Completed,First_Time Visitor
1007,Morris Gross,Female,65,Russian,1/18/2020,1/18/2020,1/23/2020,0,N/A,4,2 room,Corporate,Late Check-Out,First-Time Visitor
1008,Ms. Anita Burch,Male,48,Russian,9/1/2023,9/19/2023,9/23/2023,0,N/A,3,2 room,Corporate,Early Check-Out,First_Time Visitor
1009,Natalia,Female,41,Azerbaijani,8/24/2020,11/5/2020,11/9/2020,0,N/A,5,3 room,Corporate,Late Check-Out,Regular Guest
1010,Robert Nunez,Female,31,Russian,2/23/2023,2/23/2023,3/5/2023,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
1011,Maria Guilloux,Female,23,Russian,6/4/2018,6/4/2018,6/12/2018,0,N/A,5,3 room,Corporate,Completed,First-Time Visitor
1012,Mr. Bing Wang,Female,57,Russian,5/30/2020,6/26/2020,7/4/2020,0,N/A,4,2 room,Business,Late Check-Out,First-Time Visitor
1013,Jurgen Lim,Male,58,Turkish,7/23/2021,9/9/2021,9/15/2021,0,N/A,3,2 room,Business,Early Check-Out,First_Time Visitor
1014,Janice Lane,Male,37,Iranian,4/29/2018,4/29/2018,5/7/2018,0,N/A,5,3 room,Business,Early Check-Out,First-Time Visitor
1015,Mr. Hunter Roberts,Male,67,Iranian,5/1/2022,6/1/2022,6/9/2022,2,N/A,5,3 room,Leisure,Late Check-Out,Regular Guest
1016,Mrs. Hannah Gutkowski,Female,63,Saudi Arabian,10/3/2022,10/3/2022,10/4/2022,3,N/A,5,3 room,Leisure,Early Check-Out,First-Time Visitor
1017,Mrs. Faye Shearer,Female,20,Azerbaijani,8/4/2021,9/18/2021,9/27/2021,1,N/A,3,2 room,Leisure,Early Check-Out,First_Time Visitor
1018,Robert Smith,Female,18,Turkish,6/6/2022,8/25/2022,8/27/2022,0,N/A,5,3 room,Corporate,Late Check-Out,First_Time Visitor
1019,Molly,Male,56,Russian,4/1/2021,4/1/2021,4/8/2021,2,N/A,5,3 room,Leisure,Completed,First_Time Visitor
1020,Harold Harlow,Male,55,Indian,9/2/2019,9/2/2019,9/7/2019,2,N/A,4,2 room,Leisure,Completed,First_Time Visitor
1021,Juan Gonzalez,Male,41,Turkish,10/6/2022,10/31/2022,11/9/2022,1,N/A,4,2 room,Leisure,Completed,Regular Guest
1022,Mr. David Gutierrez,Male,69,Azerbaijani,9/16/2021,9/16/2021,9/20/2021,0,N/A,5,3 room,Business,Early Check-Out,First_Time Visitor
1023,Felipe Cao,Female,52,Russian,1/20/2019,1/20/2019,1/22/2019,2,N/A,3,2 room,Leisure,Completed,First_Time Visitor
1024,Kate & Owen,Female,65,Saudi Arabian,1/22/2019,1/22/2019,1/24/2019,0,N/A,3,2 room,Business,Completed,First-Time Visitor
1025,Mr. William D. Pittman,Female,33,Turkish,11/21/2019,1/18/2020,1/25/2020,0,N/A,2,1 room,Business,Late Check-Out,First-Time Visitor
1026,Julia Foster,Male,59,Russian,4/13/2023,4/13/2023,4/21/2023,0,N/A,2,3 room,Business,Completed,Regular Guest
1027,Brennan Richards,Male,29,Russian,8/5/2022,9/24/2022,9/25/2022,0,N/A,4,2 room,Business,Completed,First-Time Visitor
1028,Yvonne Keller,Male,63,Azerbaijani,2/19/2022,3/9/2022,3/12/2022,0,N/A,5,3 room,Corporate,Late Check-Out,First_Time Visitor
1029,Mr. Edward Koch,Female,22,Iranian,1/4/2022,3/3/2022,3/11/2022,0,N/A,4,2 room,Corporate,Completed,First-Time Visitor
1030,Ms. Ebony R. Wells,Female,40,Azerbaijani,4/2/2022,4/27/2022,4/28/2022,0,N/A,2,2 room,Business,Completed,Regular Guest
1031,Mr. Prack Hyde,Female,53,Indian,12/7/2020,1/28/2021,2/7/2021,1,N/A,4,2 room,Leisure,Completed,First_Time Visitor
1032,Mr. Rahul Prakash,Female,18,Indian,9/2/2018,9/2/2018,9/10/2018,1,N/A,3,2 room,Leisure,Early Check-Out,First-Time Visitor
1033,Mr. Amit Chakravorty,Female,51,Russian,11/23/2020,2/14/2021,2/17/2021,0,N/A,2,3 room,Business,Completed,Regular Guest
1034,Robert Lopez,Male,42,Azerbaijani,6/2/2020,6/2/2020,6/11/2020,0,N/A,2,1 room,Business,Late Check-Out,First_Time Visitor
1035,Mrs. Angela,Male,43,Saudi Arabian,9/11/2018,9/11/2018,9/16/2018,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
1036,Mr. Abdur Razak,Female,37,Turkish,10/2/2020,10/2/2020,10/8/2020,0,N/A,5,3 room,Corporate,Completed,Regular Guest
1037,Wendell A.,Male,20,Russian,8/26/2021,10/14/2021,10/17/2021,0,N/A,2,1 room,Corporate,Completed,First_Time Visitor
1038,Gina Webb,Female,43,Russian,4/2/2020,4/2/2020,4/6/2020,0,N/A,3,2 room,Business,Completed,First-Time Visitor
1039,Mr. Steven Jackson,Male,33,Russian,3/5/2021,3/5/2021,3/11/2021,0,N/A,5,3 room,Corporate,Late Check-Out,First_Time Visitor
1040,Jimmy Bratton,Male,47,Russian,10/3/2023,11/25/2023,11/29/2023,0,N/A,3,2 room,Business,Early Check-Out,First_Time Visitor
1041,Mr. Andrew Bacon,Female,18,Azerbaijani,2/2/2023,3/13/2023,3/18/2023,0,N/A,3,2 room,Business,Completed,Regular Guest
1042,Gwen Crosby,Female,56,Russian,6/28/2020,6/28/2020,7/3/2020,0,N/A,4,2 room,Business,Late Check-Out,Regular Guest
1043,Lucy Thomas,Female,39,Saudi Arabian,3/3/2022,3/19/2022,3/26/2022,0,N/A,2,3 room,Corporate,Completed,First_Time Visitor
1044,Mr. Caleb J. Robinson,Female,45,Iranian,3/28/2021,3/28/2021,4/4/2021,0,N/A,3,2 room,Business,Early Check-Out,First-Time Visitor
1045,Robert Howard,Male,70,Russian,2/17/2023,4/22/2023,4/25/2023,0,N/A,4,2 room,Corporate,Completed,First-Time Visitor
1046,Mr. Aadil Fayaz,Female,24,Iranian,6/6/2021,8/18/2021,8/24/2021,2,N/A,5,3 room,Leisure,Early Check-Out,Regular Guest
1047,Mr. Mohammad Azeem,Male,66,Russian,2/10/2022,4/20/2022,4/22/2022,0,N/A,5,3 room,Business,Early Check-Out,First_Time Visitor
1048,Julie Wilson,Female,64,Russian,1/8/2020,3/8/2020,3/17/2020,2,N/A,3,2 room,Leisure,Late Check-Out,First_Time Visitor
1049,James Carden,Male,56,Azerbaijani,7/9/2019,7/9/2019,7/16/2019,0,N/A,4,2 room,Corporate,Early Check-Out,First_Time Visitor
1050,Mr. Dominic Riley,Male,33,Russian,1/31/2022,1/31/2022,2/1/2022,0,N/A,5,3 room,Business,Completed,First-Time Visitor
1051,Rodney Blanda,Female,18,Russian,3/18/2018,3/18/2018,3/19/2018,2,N/A,4,2 room,Leisure,Early Check-Out,Regular Guest
1052,Ruth Ferguson,Male,30,Saudi Arabian,11/24/2018,11/24/2018,11/29/2018,2,N/A,5,3 room,Leisure,Late Check-Out,Regular Guest
1053,Jacqueline Pugh,Male,40,Indian,3/7/2023,4/8/2023,4/16/2023,0,N/A,2,3 room,Business,Early Check-Out,First_Time Visitor
1054,Jin Park,Male,32,Russian,7/11/2018,7/11/2018,7/16/2018,0,N/A,2,3 room,Business,Completed,First-Time Visitor
1055,Debra Anderson,Male,70,Russian,11/16/2019,11/16/2019,11/21/2019,0,N/A,4,2 room,Business,Late Check-Out,First-Time Visitor
1056,John Smith,Male,68,Russian,1/6/2023,2/18/2023,2/23/2023,1,N/A,3,2 room,Leisure,Late Check-Out,First_Time Visitor
1057,William Schmeler,Female,66,Turkish,4/21/2022,4/30/2022,5/1/2022,0,N/A,2,1 room,Corporate,Early Check-Out,First-Time Visitor
1058,Mr. Alonso Marquez,Female,49,Russian,11/5/2019,11/5/2019,11/12/2019,0,N/A,3,2 room,Business,Early Check-Out,First-Time Visitor
1059,Mr. Ethan Dunn,Male,26,Saudi Arabian,7/31/2021,7/31/2021,8/7/2021,3,N/A,5,3 room,Leisure,Late Check-Out,First-Time Visitor
1060,Hannah Contreras,Male,70,Indian,5/2/2021,5/2/2021,5/8/2021,0,N/A,2,2 room,Business,Early Check-Out,Regular Guest
1061,Mr. Brian Jason,Male,51,Azerbaijani,10/11/2022,10/23/2022,10/29/2022,0,N/A,5,3 room,Business,Late Check-Out,Regular Guest
1062,Mr. Abdelrahman Sweilam,Male,29,Iranian,9/1/2018,9/1/2018,9/8/2018,0,N/A,2,1 room,Business,Late Check-Out,First-Time Visitor
1063,Ashley Martin,Male,31,Russian,11/1/2019,11/1/2019,11/11/2019,1,N/A,5,3 room,Leisure,Late Check-Out,First_Time Visitor
1064,Mr William D Bard,Female,21,Russian,5/25/2023,7/31/2023,8/9/2023,0,N/A,5,3 room,Business,Completed,Regular Guest
1065,James King,Male,26,Russian,5/13/2021,5/13/2021,5/15/2021,0,N/A,5,3 room,Corporate,Early Check-Out,Regular Guest
1066,Mr. Kaushik Chandi,Female,51,Russian,10/29/2022,10/29/2022,11/2/2022,2,N/A,3,2 room,Leisure,Late Check-Out,First_Time Visitor
1067,Jacob Rowe,Female,46,Turkish,7/9/2021,8/8/2021,8/11/2021,2,N/A,5,3 room,Leisure,Completed,First-Time Visitor
1068,James Irwin,Male,66,American,12/27/2021,2/8/2022,2/16/2022,0,N/A,3,2 room,Corporate,Completed,First_Time Visitor
1069,Darrell Rocha,Female,35,Azerbaijani,4/17/2019,4/17/2019,4/21/2019,3,N/A,5,3 room,Leisure,Early Check-Out,Regular Guest
1070,Mrs. Reyna Schmitt,Male,41,Russian,7/17/2019,8/23/2019,8/25/2019,0,N/A,3,2 room,Business,Completed,Regular Guest
1071,Kieran Estelle,Male,25,Russian,12/12/2022,1/9/2023,1/17/2023,0,N/A,4,2 room,Corporate,Late Check-Out,First-Time Visitor
1072,Mr. Nikolaas Niles,Male,26,Indian,9/25/2021,11/25/2021,12/3/2021,0,N/A,3,2 room,Business,Late Check-Out,First-Time Visitor
1073,Peter Smith,Male,39,Philippines,6/17/2023,8/27/2023,8/31/2023,1,N/A,5,3 room,Leisure,Early Check-Out,First_Time Visitor
1074,Mr. Elvis Sharp,Female,34,Turkish,1/2/2018,1/2/2018,1/6/2018,0,N/A,2,2 room,Business,Completed,First_Time Visitor
1075,Daniel Duhamel,Female,20,Indian,8/29/2020,9/22/2020,9/28/2020,3,N/A,4,2 room,Leisure,Completed,First-Time Visitor
1076,Seth Riley,Male,48,Indian,2/18/2022,4/8/2022,4/12/2022,2,N/A,3,2 room,Leisure,Completed,First-Time Visitor
